company,city,state,industry,employees,intent topics,description,acct #
Inova Federal Credit Union,Elkhart,Indiana,Finance,103,External Hard Drive; Generative AI,"INOVA Federal Credit Union offers a wide range of financial products and services including personal and business checking accounts, various loan options, credit cards, and digital banking services. Their intended clients are individuals and families seeking personal banking solutions, as well as businesses in need of financial management and loan services. INOVA emphasizes digital banking accessibility, financial education, and member rewards programs. They also provide insurance services to help clients manage their financial risks.",137839867
Inter-Industry Conference On Auto Collision Repair,Philadelphia,Pennsylvania,Consumer Services,13,,"Inter-industry Conference on Auto Collision Repair is a company that operates in the Automotive Service & Collision Repair industry. It employs 10to19 people and has 500Kto1M of revenue. The company is headquartered in Philadelphia, Pennsylvania.",1151156904
International Foundation of Employee Benefit Plans Inc.,Brookfield,Wisconsin,Organizations,240,Generative AI; Environmental Regulations; Energy Storage,"The International Foundation of Employee Benefit Plans is a nonprofit organization, dedicated to providing the diverse employee benefits community with objective, solution-oriented education, research and information. The International Foundation delivers research findings, education and networking opportunities to thousands of benefits professionals who rely on us for objective, accurate and timely information.",141050879
International Medical Group Inc.,Indianapolis,Indiana,Insurance,483,Environmental Regulations,"Since 1990, International Medical Group, headquartered in Indianapolis, Indiana, U.S.A., has provided global insurance benefits and assistance services to millions of members in almost every country. We are committed to being there for our members to provide them with Global Peace of Mind®. Our full-service approach includes 24/7 worldwide assistance, medical management services, and highly trained, multilingual customer service professionals. IMG delivers the insurance products and assistance services members need, backed by the services they want. IMG's global family of companies includes AkesoCare Management®, Global Response Ltd., and ALC Health.",147211007
Interstate Cold Storage Inc.,Fort Wayne,Indiana,Transportation,70,Generative AI,"Interstate Cold Storage is a family-owned and operated cold storage warehousing company that has been serving the Midwest since 1973. They provide a comprehensive suite of temperature-controlled services tailored for food manufacturers, distributors, and retail supply chain teams, ensuring efficient operations and superior customer service. With five strategically located facilities in Ohio and Indiana, they offer multi-temperature cold storage, quick-freezing services, and USDA inspection services, among other value-added solutions. Their commitment to quality and technology positions them as a leader in the cold storage industry, catering to clients in the food and pharmaceutical sectors.",54627087
Intl Union of Operating Engineers - Local 150,Countryside,Illinois,Organizations,134,Environmental Regulations; Big Data Software,"The International Union of Operating Engineers Local 150 represents approximately 23,000 men and women in construction and related industries across Northern Illinois, Northern Indiana, and parts of Southeastern Iowa. The union provides various services including training programs, benefits, and support for its members. It is dedicated to advocating for workers' rights and improving working conditions in the construction sector. IUOE Local 150 also engages in community events and legal actions to protect its members' interests.",1119806856
INTREN Inc.,Union,Illinois,Construction,1001,Fraud Protection; Environmental Regulations; All Flash Array; Autonomous Intelligence and Agentic AI,"INTREN, headquartered in Union, Illinois, and established in 1988, is a utility contractor specializing in the development and execution of design, construction, and management solutions for the electric and gas industries.",350944263
IPC International Inc.,,,,,,,
Ipsco Koppel Tubulars Corp.,Houston,Texas,Manufacturing,7,,"Ipsco Koppel Tubulars LLC is a company that operates in the Industrial Machinery & Equipment industry. It employs 5to9 people and has 500Kto1M of revenue. The company is headquartered in Houston, Texas.",1265499606
Ipsen Inc.,Boulogne-Billancourt,Ile-de-France,Manufacturing,5358,Generative AI; Fraud Protection; Business Intelligence; Environmental Regulations; Enterprise Resource Planning; Data Center Migration; Autonomous Intelligence and Agentic AI; Big Data Software,"Founded in 1929 and headquartered in Boulogne, France, Ipsen Pharma is a global biopharmaceutical group focused on specialty care. The Group develops and commercializes medicines in therapeutic areas including oncology, neuroscience, and rare diseases.",26722853
Iris Usa Inc.,Surprise,Arizona,Manufacturing,750,Digital Transformation; Autonomous Intelligence and Agentic AI; Big Data Software,"IRIS USA founded in 1994 and headquartered in Surprise, Arizona, is a manufacturer of storage products and home essentials. The company mainly markets a line of clear plastic storage products.",53659789
Iroquois Memorial Hospital & Resident Home,Watseka,Illinois,Hospitals & Physicians Clinics,250,Generative AI,"Serving more than 50,000 people annually in east-central Illinois and west-central Indiana, Iroquois Memorial Hospital (IMH) is a 25-bed hospital located in Watseka, Illinois. The hospital facility is comprised of clinical and diagnostic services dedicated to providing high quality health care services to the community. These services include, but are not limited to, an Emergency Room, Prompt Care, full service OR suites, an inpatient care unit, therapy services, advanced medical imaging, Home Health, and Hospice Care. The hospital operates rural health clinics in Watseka, IL; Gilman, IL; Milford, IL and Kentland, IN. The hospital also operates a skilled nursing facility, Iroquois Resident Home, which is attached to the hospital property.",59492350
Jacob & Hefner Associates Inc.,Downers Grove,Illinois,Construction,113,Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Jacob & Hefner Associates specializes in civil engineering, land surveying, and environmental services, focusing on long-term quality and integrity in their work. Their engineering team is licensed across multiple states, offering expertise in land development, infrastructure, and water resource projects. The surveying division, led by an experienced licensed surveyor, provides a range of services from boundary surveys to construction layout. Additionally, their environmental services include remediation and site management for various assessment and construction projects.",344106504
Jacobus Energy,Milwaukee,Wisconsin,"Energy, Utilities & Waste",368,Generative AI; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Founded in 1919 and Headquartered in Milwaukee, Wisconsin. Jacobus Energy, Inc. is a petroleum marketer. The Company offers fueling services which includes mobile refueling, automated fueling stations, and fuel management solutions.",37193988
Jagemann Stamping,Manitowoc,Wisconsin,Manufacturing,124,Big Data Software,"Founded in 1946, Jagemann Stamping Company is a full-service stamping company. They are located in Manitowoc, Wisconsin.",62376979
Janesville Acoustics,Southfield,Michigan,Manufacturing,372,Application Performance,"Janesville Acoustics is a leading producer of automotive felt-based molded and die-cut products, operating as a Tier I and Tier II supplier to the automotive and transportation industry. The company leads the industry in fiber expertise and manufacturing capabilities. The company's quality, performance, and functionality benchmarks serve as the performance reference for fiber-based thermal and acoustical applications worldwide. Founded to manufacture cotton rolls and batting for the furniture industry, Janesville Acoustics shifted to the transportation market with the rise of mass-produced automobiles. Today Janesville Acoustics is one of the worlds largest producers of acoustical and thermal fiber insulation to a variety of automotive applications. Customers count on Janesville Acoustics for products that are cost effective, recyclable, weight conscious, and engineered to the highest quality standards. They trust the company to provide innovative solutions that advance their business.",45401791
Janesville LLC,,,,,,,
Jason Industries Inc.,Milwaukee,Wisconsin,Manufacturing,4400,,"Jason Industries, headquartered in Milwaukee, Wisconsin, is a manufacturing company that specializes in finishing and seating products for the industrial, energy, heavy fabrication, off-highway equipment, and transportation industries.",27329664
Jbs United Inc.,Sheridan,Indiana,Healthcare Services,59,,"JBS United was founded in 1956. This company provides research-based solutions for agriculture and animals. Their headquarters are located in Sheridan, Indiana.",99337085
Jel-Sert,West Chicago,Illinois,Manufacturing,1000,Digital Transformation; Generative AI; Environmental Regulations,"Jel Sert was founded in 1926. This company provides the manufacturing and retailing of pop-sickles and other flavored treats and drinks. Their headquarters are located in West Chicago, Illinois.",20660493
Jewish Child and Family Services,Chicago,Illinois,Organizations,412,Environmental Regulations; Data Center Migration; Autonomous Intelligence and Agentic AI,"JCFS Chicago provides a wide range of services aimed at helping, healing, and strengthening children, adults, and families, infused with Jewish values. Their offerings include support for mental health, disability services, family support, and therapeutic education, catering to individuals of all backgrounds and abilities. The organization collaborates with schools, healthcare providers, and community members to reach a diverse clientele. Since its inception in 1859, JCFS has impacted over 22,000 individuals, demonstrating a strong commitment to community support and engagement.",99371188
Jewish Community Center of Chicago,Flossmoor,Illinois,Organizations,7,Environmental Regulations,"Anita M Stone Community Center is a company that operates in the Non-Profit & Charitable Organizations  industry. It employs 5to9 people and has 1Mto5M of revenue. The company is headquartered in Flossmoor, Illinois.",1130285721
Jewish United Fund of Metropolitan Chicago,Chicago,Illinois,Organizations,375,Generative AI; Environmental Regulations; Database Solutions; Energy Storage; Autonomous Intelligence and Agentic AI; Compliance; Docker,Jewish United Fund/Jewish Federation of Metropolitan Chicago operates as a non-profit organization. The Organization provides human services to jews community. Jewish United Fund/Jewish Federation of Metropolitan Chicago serves customers in United States.,131434293
Jim's Formal Wear Co,Trenton,Illinois,Retail,500,GitHub; Environmental Regulations; Artificial Intelligence,"Jim's Formal Wear was established in 1964, headquartered in Trenton, Illinois, offering formal attire for special occasions.",64783930
John D. and Catherine T. Macarthur Foundation,Chicago,Illinois,Organizations,313,Enterprise Contact Center; Fraud Protection; Business Intelligence; Environmental Regulations; Artificial Intelligence; Digital Transformation,"The MacArthur Foundation is a philanthropic organization based in Chicago, with additional locations in India and Nigeria, dedicated to addressing critical global challenges. It invests in innovative solutions across various sectors including climate change, criminal justice, and journalism, while also providing grants to support effective organizations and networks. The foundation aims to foster creativity, enhance community resilience, and strengthen public engagement through its diverse programs and initiatives. Its primary clients include grantees, investees, and partners committed to creating a more just, verdant, and peaceful world.",19663015
Joink LLC,Terre Haute,Indiana,Telecommunications,26,Cloud Computing; Cloud Storage; Digital Transformation; Cloud Data; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI,"Joink is a Terre Haute, Indiana-based provider of high-speed fiber optic internet services, catering to both residential and business clients. With a commitment to delivering reliable and fast internet, they offer various plans including Fiber and Fixed Wireless options, ensuring customers can stream, work, and game without interruptions. Joink has been serving the Wabash Valley for over 20 years, investing in local communities and providing a dependable 100% underground fiber network. Their services include managed technology services and hosting, aimed at enhancing connectivity for all users.",57820617
K Y B Manufacturing North America,,,,,,,
Keystone Powdered Metal Company,Saint Marys,Pennsylvania,Manufacturing,378,Backup & Recovery Software; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI; Compliance,"Founded in 1927, Keystone Powdered Metal Company, headquartered in St. Marys, Pennsylvania, designs and manufactures powdered metal (PM) products, primarily for the automotive industry. Products include bearings, gears and gear components, magnetic actuators, pinions, hot forged parts, diodes, and sprockets. Their clients include home appliance, outdoor power equipment and power tool manufacturers.",67061104
Kings Daughters Hospital Health Services,,,,,,,
Kirby Risk Corp.,Lafayette,Indiana,Retail,850,Generative AI; Enterprise Resource Planning; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI,"Kirby Risk was founded in 1926. Kirby Risk is a family-owned industrial solutions company based in Lafayette, Indiana, providing electrical distribution, electrical apparatus sales and repair, wiring harness and cable manufacturing, and industrial component manufacturing. The company focuses on helping industrial and commercial customers reduce costs, conserve resources, improve productivity, and shorten manufacturing lead times through a combination of product supply and value-added services. Their headquarters are located in Lafayette, Lousiana.",63720306
Kolbe & Kolbe Millwork Co Inc.,Wausau,Wisconsin,Manufacturing,1000,Generative AI; GitHub; Enterprise Infrastructure,"Kolbe Windows & Doors, located in Wausau, Wisconsin, is a company that specializes in the manufacturing of doors and windows.",21693189
Koorsen Fire & Security Inc.,Indianapolis,Indiana,Construction,872,Digital Transformation; Environmental Regulations; Big Data Software; Generative AI,"Founded in 1946, Koorsen Fire & Security offers fire protection products and services to commercial and residential customers in Indiana, Ohio, Kentucky, Tennessee, and Alabama. Services include inspection of existing equipment, alarm and extinguisher installation to meet code, repair of systems, installation of alarm and sprinkler systems, emergency lighting and kitchen systems. Headquarters is located in Indianapolis, Indiana.",34784863
Kreilkamp Group Inc.,Allenton,Wisconsin,Transportation,115,Enterprise Contact Center,"Kreilkamp Trucking, Inc. is a SmartWay Transport Partner specializing in the transportation of meats, cheese, spirits, and agricultural/manufacturing supplies. The company offers regional, OTR, and local trucking services primarily between the Midwest and the East Coast. They are actively recruiting Class A CDL drivers to join their team and emphasize dependability in their freight solutions. Established in 1935, Kreilkamp Trucking is committed to supply chain sustainability and delivering freight on time.",32572976
Kreilkamp Trucking,Allenton,Wisconsin,Transportation,115,Enterprise Contact Center,"Kreilkamp Trucking, Inc. is a SmartWay Transport Partner specializing in the transportation of meats, cheese, spirits, and agricultural/manufacturing supplies. The company offers regional, OTR, and local trucking services primarily between the Midwest and the East Coast. They are actively recruiting Class A CDL drivers to join their team and emphasize dependability in their freight solutions. Established in 1935, Kreilkamp Trucking is committed to supply chain sustainability and delivering freight on time.",32572976
Krueck Sexton Partners,Chicago,Illinois,Construction,30,,"KSArch is currently developing its online presence, with a website that indicates future offerings. As of now, specific products or services are not available. The company emphasizes trademark-free content and adheres to privacy and legal policies. Intended clients are currently undefined due to the site being under construction.",1120259506
Kuhn Krause Inc.,,,,,,,
Kuhn North America Inc.,Hutchinson,Kansas,Manufacturing,500,App Analytics Companies; End-to-End Encryption; Digital Transformation; Business Intelligence; Environmental Regulations,"Krause Corp, now Kuhn Krause, distributes farm equipment for customers in the United States and Canada. Krause is located in Hutchinson, Kansas.",66718164
Kuriyama of America Inc.,Schaumburg,Illinois,Manufacturing,383,Generative AI; Autonomous Intelligence and Agentic AI,"Kuriyama of America was founded in 1968. This company provides the manufacturing and retailing of thermoplastic hoses and accessories. Their headquarters are located in Schaumburg, Illinois.",21840323
La Casa De Esperanza Inc.,Waukesha,Wisconsin,Organizations,162,Generative AI; Compliance,"La Casa De Esperanza is a full-service organization that provides a variety of programs and services aimed at fostering social and economic participation, particularly for the Hispanic community. Their offerings include early childhood education, a charter school for K4 through 8th grade, financial stability resources, and low-income housing for seniors and disabled individuals. Serving over 20,000 people from diverse backgrounds, La Casa emphasizes community support and empowerment. Established in 1966, the organization continues to adapt to the needs of the community, promoting hope and opportunities for all.",51234494
Ladd Memorial Hospital Inc.,Scandia,Minnesota,Hospitals & Physicians Clinics,208,,"Ladd Memorial Hospital is a company that operates in the Medical & Surgical Hospitals industry. It employs 100to249 people and has 10Mto25M of revenue. The company is headquartered in Scandia, Minnesota.",1308224101
LAIRD PLASTICS,Irving,Texas,Retail,700,Fraud Protection; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Founded in 1944, Laird Plastics is headquartered in Irving, Texas. Laird Plastics offers a network of service centers and inventories with a product range including acrylics and polycarbonates, graphics materials (substrates and a variety of higher end materials) and mechanical/engineering materials.",68897326
Lawrence Ragan Communications Inc.,Chicago,Illinois,Business Services,14,,"Lawrence Ragan Communications Inc is a company that operates in the Advertising & Marketing industry. It employs 10to19 people and has 1Mto5M of revenue. The company is headquartered in Chicago, Illinois.",1201170783
Leed Selling Tools Corp.,Evansville,Indiana,Transportation,131,Disaster Recovery,"Leed Samples & Fulfillment specializes in the design and manufacturing of high-quality material samples, including various types of memo samples and wood samples. They offer comprehensive fulfillment services, ensuring efficient delivery of material samples and sales literature to clients. Their intended clients include businesses seeking reliable fulfillment solutions and high-quality sample production. Leed is committed to environmentally friendly practices in their production and fulfillment processes.",70141280
Legal Action of Wisconsin Inc.,La Crosse,Wisconsin,Organizations,149,Generative AI; Autonomous Intelligence and Agentic AI,"Legal Action Wisconsin provides free legal assistance to low-income individuals and families facing various legal issues, including housing, employment, debt, public benefits, family law, and victim support. The organization serves specific populations such as farmworkers, seniors, veterans, and those affected by domestic violence and human trafficking. Their services aim to empower clients by addressing their legal challenges and ensuring access to justice. Legal Action Wisconsin is committed to making a significant impact in the community through advocacy and support.",22381483
Legion Insurance Company,Philadelphia,Pennsylvania,Insurance,171,,"Legion Insurance Company was a property and casualty insurer. The company was founded in 2007 and is headquartered in Philadelphia, Pennsylvania. In 2003, The Commonwealth Court of Pennsylvania ordered Legion Insurance Company into liquidation.",84494485
Leman USA Inc.,Greve,Zealand,Transportation,843,Cloud Computing; Digital Transformation; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Artificial Intelligence,"Founded in 1900, LEMAN is a transport and logistics company offering road, air, and sea freight transportation services, and also provides logistics and warehousing services. LEMAN is headquartered in Greve, Denmark, with offices in Sweden, Norway, Finland, Greenland, the UK, and the USA.",40831771
LiDestri Food and Drink,Fairport,New York,Manufacturing,1424,Generative AI; File Sharing; Environmental Regulations; Dropbox,"Founded in 2014 and headquartered in Fairport, New York, LiDestri is a premier private label and contract manufacturer of food, beverages, and spirits, supplying over 40 million cases of product each year.",547394304
Lifeline Youth & Family Services Inc.,Fort Wayne,Indiana,Organizations,667,Autonomous Intelligence and Agentic AI,"Lifeline is a faith-based organization dedicated to providing hope and support to families and youth involved in the legal system through home-based services, court-ordered therapy, and preventative education. With over 50 years of experience, Lifeline offers a range of services including Adoption & Guardianship Support Services, Family Preservation Services, and Traditional Home-Based Services. The organization focuses on delivering evidence-based solutions tailored to the individual needs of families, helping them overcome challenges and thrive within their communities. Lifeline collaborates with state agencies to ensure families receive exceptional care and resources to break cycles of hardship.",70863695
Lifeway Foods Inc.,Morton Grove,Illinois,Manufacturing,293,Environmental Regulations,"Lifeway Foods, Inc. is an American food and beverage manufacturer best known for producing and marketing Lifeway Kefir, a cultured dairy beverage rich in probiotics, protein, and calcium. Founded in 1986 in Morton Grove, Illinois, the company pioneered commercial kefir production in the United States and has grown into the dominant supplier of fermented probiotic dairy products in the U.S. market. Its product portfolio includes drinkable kefir in various flavors and formulations, European-style farmer cheeses, and functional probiotic beverages marketed under brands such as Lifeway, Fresh Made, and ProBugs. Lifeway distributes products nationwide through supermarkets, specialty retailers, and distributors, and continues to expand capacity and reach through strategic investments in manufacturing facilities.",70912527
Lindell Bank,St. Louis,Missouri,Finance,144,Cloud Computing; End-to-End Encryption; Autonomous Intelligence and Agentic AI; Encryption,"Lindell Bank is a full service, independent community bank offering a wide variety of products and services. Established in 1923, the company offers twelve convenient banking locations and fourteen ATMs in the St. Louis metro area to serve you! Locally owned and operated, Lindell Bank has the highest financial ratings in St. Louis for stability and strength.",69503003
Lindengrove Inc.,Brookfield,Wisconsin,Healthcare Services,641,,"LindenGrove Communities offers a continuum of care that includes assisted living, advanced assisted living, memory care, short-term rehabilitation and skilled nursing. The company is headquartered in Brookfield, Wisconsin.",69503028
Little Rapids Corp.,Green Bay,Wisconsin,Manufacturing,373,Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI,"Little Rapids Corporation is an industry-leading manufacturer of specialty paper products catering to the Medical, Beauty, and Food Service markets. Their products are designed to promote safety and sanitation while providing convenience and comfort for professionals and their patients. With three U.S.-based operations, the company combines over a century of papermaking heritage with advanced technology to deliver sustainable performance and brand precision. Little Rapids Corporation is committed to customer solutions and has a strong reputation for stability and integrity in the industry.",1143851278
Logan Community Resources Inc.,South Bend,Indiana,Organizations,415,,"The LOGAN Center supports people with intellectual and developmental disabilities in Indiana and Michigan so they, and their families, may achieve their desired quality of life. Its services allow children to transition from special needs classrooms to mainstream general education classrooms.",57641102
Loyola Press,Chicago,Illinois,Media & Internet,120,Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Loyola Press is a Catholic publisher specializing in religious education materials, including books, ministry resources, and educational programs for various age groups. Their offerings encompass faith formation programs, language arts curriculum, and resources for diverse learners, catering to individuals from preschool through adult education. The company aims to support catechists, teachers, and families in nurturing faith and providing theological education. Additionally, Loyola Press provides spiritual resources like 3-Minute Retreats, articles, and reflections to deepen spiritual practice.",23183664
Lusha Systems Inc.,Boston,Massachusetts,Software,276,Digital Transformation,"Lusha Systems Inc is a company that operates in the Business Intelligence (BI) Software industry. It employs 250to499 people and has 50Mto100M of revenue. The company is headquartered in Boston, Massachusetts.",408702118
Lutheran Homes of Oconomowoc Inc.,Oconomowoc,Wisconsin,Healthcare Services,262,,"Shorehaven is a trusted, faith-based resource for seniors located in Oconomowoc, offering a comprehensive range of living options including independent living, assisted living, memory care, and skilled nursing facilities. The facility is designed to provide high-quality care and support in a serene natural setting, ensuring seniors can thrive at every stage of their journey. Shorehaven emphasizes community enrichment through its Center for Life Enrichment, which provides resources and activities to foster connection and well-being. The company serves seniors seeking compassionate care and innovative solutions, while also engaging the local community through events and volunteering opportunities.",368806430
Lyric Opera of Chicago,Chicago,Illinois,Organizations,586,Generative AI; Environmental Regulations; Data Center Migration; Autonomous Intelligence and Agentic AI; Artificial Intelligence,"Founded in 1954, the Lyric Opera of Chicago is headquartered in Chicago, Illinois. They present international singers, conductors, directors, and designers in classic operatic repertoire and in world-premiere productions.",69011796
Madison One Holdings LLC,Scottsdale,Arizona,Finance,14,,"Madison One is a direct business lending platform that serves borrowers and lenders nationwide, focusing on government guaranteed loan programs. The platform is designed to enhance efficiency and returns for lenders while allowing business owners to concentrate on revenue generation. It is a collaboration primarily owned by credit unions, aimed at facilitating participation in government guaranteed lending. Madison One provides services to both borrowers and lenders, maximizing their potential in the lending market.",368191479
Magnetrol International Inc.,Aurora,Illinois,Manufacturing,457,Environmental Regulations; Energy Storage,"Founded in 1932 and headquartered in Aurora, Illinois, Magnetrol International develops, manufactures, and distributes level and flow control measurement instrumentation utilized by electric, gas, and sewer.",483711198
Maple Leaf Inc.,,,,,,,
Marc Fisher Footwear,Greenwich,Connecticut,Manufacturing,998,App Analytics Companies,"Marc Fisher Footwear is an industry leader in the footwear market, offering a diverse portfolio of 18 iconic brands that cater to various styles, including classic, contemporary, sport, and dress for both men and women. Founded in 2005, the company emphasizes quality, design, and comfort as core values in their products. With a global reach and strong retail partnerships, they aim to meet the footwear needs of every lifestyle. Celebrating 20 years of innovation and craftsmanship, Marc Fisher Footwear values the support of its employees, vendors, and partners.",1154348022
Markey's Audio/Visual Inc.,Indianapolis,Indiana,Retail,320,,"Markey's is an event technology expert specializing in video, lighting, audio, and livestreaming solutions for live events. The company assists clients in creating defining experiences for virtual, hybrid, or in-person events, guiding them from concept to completion while managing all technological aspects. Markey's aims to be a trusted partner in delivering high-quality, seamless event experiences, catering to a diverse clientele that requires industry-leading equipment and support. Their impressive portfolio includes collaborations with prominent organizations like the Indianapolis Colts and JW Marriott, showcasing their commitment to exceptional service and customer satisfaction.",72942515
Marquette Co,,,,,,,
Marquette Property Investments Inc.,,,,,,,
Marshall Browning Hospital,Du Quoin,Illinois,Hospitals & Physicians Clinics,291,Clustering; Environmental Regulations,"Marshall Browning Hospital is dedicated to improving the health and quality of life for the communities it serves. The hospital offers a wide range of medical services including emergency care, specialty clinics, rehabilitation, and various outpatient therapies. Its intended clients include patients seeking comprehensive healthcare services, from urgent care to specialized treatments. The facility is committed to providing exceptional care and has received recognition for its quality services.",66128081
Mastergraphics Inc.,,,,,,,
Material Sciences Corp.,Canton,Michigan,Manufacturing,350,Generative AI; Autonomous Intelligence and Agentic AI; Business Analytics,"Headquartered in Canton, MI, Material Sciences Corporation (MSC) provides advanced solutions in metals, metal products and metal processing across end-use markets. Material Sciences has been providing services for automotive, construction, and consumer good industries since 1951.",75220974
Materials Processing Inc.,,,,,,,
Mather Lifeways,Evanston,Illinois,Healthcare Services,728,,"Mather is located in Evanston, Illinois and was founded in 1941. Mather is a not-for-profit organization that's services are to enhance the lives of older adults. Dedicated to developing and implementing Ways to Age Well, Mather creates programs, places, and residences for today's young-at-heart older adults. These include providing a continuum of living and care; supporting neighborhoods in being better places for older adults to live, work, learn, contribute, and play; and identifying, implementing, and sharing best practices for Ways to Age Well.",66490719
McCormick Place,,,,,,,
Meduit,Charlotte,North Carolina,Business Services,1700,Generative AI; Fraud Protection; Environmental Regulations; Big Data Software,"Founded in 2017, Mediut is a full-service virtual collection agency that improves cash flow for healthcare providers offering revenue cycle management services combining accounts receivable management solutions with advanced technologies. Meduit uses technologies to offer financial management services and debt collection and overpayment services to clients. This company is headquartered in Charlotte, North Carolina.",448932771
Medulla LLC,Oak Brook,Illinois,Business Services,580,Cloud Backup & Recovery; Fraud Protection; Environmental Regulations,"Medulla, headquartered in Oak Brook, Illinois, is a business consulting and healthcare management organization offering wellness programs and education services.",363380138
Members Credit Union,Winston Salem,North Carolina,Finance,90,Digital Transformation; Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Dropbox,"Members Credit Union is a member-owned, not-for-profit financial cooperative based in North Carolina with headquarters in Winston-Salem. The company offers a full portfolio of financial service products while charging fewer and lower fees than the larger for-profit banks. All deposits are federally insured up to $250,000 by the National Credit Union Administration (NCUA), and backed by the full faith and credit of the United States Government. As a service-oriented not-for-profit, the company's goal is to serve members, not wealthy shareholders. That's because the company believes members are more valuable than profit.",61507163
Merex Technology Leasing Corp.,,,,,,,
Meridian IT Inc.,Deerfield,Illinois,Retail,750,Enterprise Contact Center; End-to-End Encryption; Environmental Regulations,"Meridian Leasing provides finance and lease solutions for new, used, and refurbished equipment for the healthcare, construction, manufacturing, and wholesale and distribution industries. As an independent lessor, Meridian Leasing offers support and guidance for equipment, vendor, and financing. Meridian Leasing is a part of the Meridian Group International and is headquartered in Deerfield, IL.",72634147
Meridian Leasing Company,Deerfield,Illinois,Retail,750,Enterprise Contact Center; End-to-End Encryption; Environmental Regulations,"Meridian Leasing provides finance and lease solutions for new, used, and refurbished equipment for the healthcare, construction, manufacturing, and wholesale and distribution industries. As an independent lessor, Meridian Leasing offers support and guidance for equipment, vendor, and financing. Meridian Leasing is a part of the Meridian Group International and is headquartered in Deerfield, IL.",72634147
Meridian Leasing Corp.,Deerfield,Illinois,Retail,750,Enterprise Contact Center; End-to-End Encryption; Environmental Regulations,"Meridian Leasing provides finance and lease solutions for new, used, and refurbished equipment for the healthcare, construction, manufacturing, and wholesale and distribution industries. As an independent lessor, Meridian Leasing offers support and guidance for equipment, vendor, and financing. Meridian Leasing is a part of the Meridian Group International and is headquartered in Deerfield, IL.",72634147
Messenger,,,,,,,
Metal Technologies Inc.,Auburn,Indiana,Manufacturing,787,Cloud Computing; Backup & Recovery Software; Fraud Protection,"Metal Technologies was founded in 1997 and is headquartered in Auburn, Indiana. They are a metal casting company that produces gray iron, ductile iron, austempered ductile and more.",51185556
Metalx LLC,Auburn,Indiana,"Energy, Utilities & Waste",260,Generative AI,"MetalX is a privately held, independent scrap metal recycling business founded in 2012 by Danny and Neal Rifkin, third and fourth generation members of the Rifkin family, whose long history in the industry is well-known. MetalX is a full-service scrap metal recycling company engaged in the business of recycling, processing, and trading of scrap and secondary metals, as well as providing consulting and management services to industrial companies. The company is focused on creating value through relationships with suppliers and consumers. Headquartered in Waterloo, Indiana the company currently employs more than 200 people throughout six facilities concentrated in northeast Indiana and northwest Ohio.",356338858
Metro Bank,London,Greater London,Finance,4286,Fraud Protection,"Metro Bank is a financial institution founded in 2010 and headquartered in the United Kingdom. The bank provides retail, business, commercial, and private banking services through multiple channels including physical stores, online banking, and a mobile app. Metro Bank is known for its customer-centric approach, offering banking services seven days a week with extended hours. The institution has received recognition for its service quality in personal and business banking, including awards for its financial services. Metro Bank operates across Europe with a strong digital presence through its internet banking platform and mobile application, allowing customers to manage their finances whenever and wherever they choose.",374952679
Metronet,Evansville,Indiana,Telecommunications,3000,Enterprise Contact Center; End-to-End Encryption; Digital Transformation; Fraud Protection; Amazon Web Services (AWS); Environmental Regulations; Capacity Planning; Energy Storage; Autonomous Intelligence and Agentic AI; Advanced Analytics; Compliance; Encryption; Generative AI; Advanced Threat Protection (ATP); Enterprise Resource Planning; Business Analytics; App Analytics Companies; Artificial Intelligence,"Metronet is a customer-focused company providing cutting-edge fiber-optic telecommunication services, including high-speed Fiber Internet and full-featured Fiber Phone",357376263
Mfri Inc.,,,,,,,
Microaire Surgical Instruments,Charlottesville,Virginia,Manufacturing,163,Generative AI,"Headquartered in Virginia, MicroAire is a manufacturer in the medical device industry, providing surgical solutions.",62473765
Mid America National Bancshares Inc.,Canton,Illinois,Finance,123,Generative AI; Business Intelligence; Autonomous Intelligence and Agentic AI,"MidAmerica National Bank has offices located in Canton, Cuba, Henry, Lewistown, and Macomb and provides full-service banking to its customers. Throughout its history, MidAmerica National Banks principal guiding force has been the desire to serve the community and its residents. MidAmerica National Bank has assets of approximately $440 million and has approximately 400 shareholders located throughout the communities the company serves. The bank is governed by a 10-member Board of Directors that meets at least bi-monthly, and is managed by its Executive Management Committee and its officers, whom are designated by the Board. As a national bank, MidAmerica is subject to strict requirements of both federal and state laws and regulations. All deposits are insured by the FDIC.",24937903
Milestone Inc.,,,,,,,
Milk Specialties,Eden Prairie,Minnesota,Manufacturing,900,,"Milk Specialties Global, headquartered in Eden Prairie, Minnesota, is comprised of three businesses which are Milk Specialties Global Human Nutrition, Milk Specialties Global Animal Nutrition and Milk Specialties International Group. The company provides protein ingredients and specialty dairy ingredients.",25035004
Millennium Steel,,,,,,,
